ID,Тип,Артикул,Имя,Опубликован,рекомендуемый?,"Видимость в каталоге","Краткое описание",Описание,"Дата начала действия продажной цены","Дата окончания действия продажной цены","Статус налога","Налоговый класс","В наличии?",Запасы,"Величина малых запасов","Возможен ли предзаказ?","Продано индивидуально?","Вес (kg)","Длина (cm)","Ширина (cm)","Высота (cm)","Разрешить отзывы от клиентов?","Примечание к покупке","Цена распродажи","Базовая цена",Категории,Метки,"Класс доставки",Изображения,"Лимит загрузок","Число дней до просроченной загрузки",Родительский,"Сгруппированные товары",Апсейл,Кросселы,"Внешний URL","Текст кнопки",Позиция,"Имя атрибута 1","Значение(-я) аттрибута(-ов) 1","Видимость атрибута 1","Глобальный атрибут 1","Имя атрибута 2","Значение(-я) аттрибута(-ов) 2","Видимость атрибута 2","Глобальный атрибут 2"
215,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B7 2010 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
216,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B8 (УНИВЕРСАЛ) 2015 Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
217,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT B8 2015 (СЕДАН) Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Passat,,,,,,,,,,,,0,,,,,,,,
218,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PASSAT CC 2008 - 2017",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,PassatCC,,,,,,,,,,,,0,,,,,,,,
219,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PHAETON 2002 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Phaeton,,,,,,,,,,,,0,,,,,,,,
220,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN PHAETON 2002 - Н.В LONG",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,"Phaeton long",,,,,,,,,,,,0,,,,,,,,
221,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN POLO III 1994 - 2002",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Polo,,,,,,,,,,,,0,,,,,,,,
222,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN POLO IV 2001 - 2009 (ХЕТЧБЕК)",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Polo,,,,,,,,,,,,0,,,,,,,,
223,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN POLO V (СЕДАН) 2010 - 2020",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Polo,,,,,,,,,,,,0,,,,,,,,
224,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN POLO V (ХЭТЧБЕК) 2010 - 2020",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Polo,,,,,,,,,,,,0,,,,,,,,
225,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN POLO VI (СЕДАН) 2020 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Polo,,,,,,,,,,,,0,,,,,,,,
226,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN SCIROCCO 2008 - 2017",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Scirocco,,,,,,,,,,,,0,,,,,,,,
227,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN SHARAN (7/6 МЕСТ) 1995 - 2010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Sharan,,,,,,,,,,,,0,,,,,,,,
228,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN SHARAN 2010 - Н.В.",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Sharan,,,,,,,,,,,,0,,,,,,,,
229,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TERAMONT (6 МЕСТ) 2017 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Teramont,,,,,,,,,,,,0,,,,,,,,
230,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TERAMONT (7 МЕСТ) 2017 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Teramont,,,,,,,,,,,,0,,,,,,,,
231,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TIGUAN 2007 -2016",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Tiguan,,,,,,,,,,,,0,,,,,,,,
232,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TIGUAN 2016 - Н.В",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Tiguan,,,,,,,,,,,,0,,,,,,,,
233,simple,,"КОВРИКИ В САЛОН VOLKSWAGEN TOUAREG 2002 - 2010",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,,Touareg,,,,,,,,,,,,0,,,,,,,,
